uid,offence,date_start,date_end
10315483,theft from motor vehicle,2016-01-03 19:45,2016-01-04 07:20
10315495,theft from motor vehicle,2016-01-04 02:00,2016-01-04 02:00
10315496,theft from motor vehicle,2016-01-03 22:00,2016-01-04 06:00
10315502,theft of motor vehicle,2016-01-03 22:00,2016-01-04 06:30
10315504,theft from motor vehicle,2016-01-03 21:00,2016-01-04 07:30
10315507,theft from motor vehicle,2016-01-03 21:30,2016-01-04 07:10
10315508,theft from motor vehicle,2016-01-04 02:20,2016-01-04 02:23
10315516,theft from motor vehicle,2016-01-03 16:00,2016-01-04 13:00
10315518,theft of motor vehicle,2016-01-04 02:32,2016-01-04 02:45
10315521,theft from motor vehicle,2016-01-03 21:00,2016-01-04 08:30
10315522,theft of motor vehicle,2016-01-03 19:30,2016-01-04 10:00
10315523,theft of motor vehicle,2016-01-04 02:15,2016-01-04 03:24
10315525,theft from motor vehicle,2016-01-03 23:00,2016-01-04 07:00
10315528,theft from motor vehicle,2016-01-03 20:30,2016-01-04 09:40
10315533,theft of motor vehicle,2016-01-03 23:00,2016-01-04 07:30
10315536,theft from motor vehicle,2016-01-04 02:00,2016-01-04 04:33
10315539,theft of motor vehicle,2016-01-04 02:00,2016-01-04 05:00
10315540,theft of motor vehicle,2016-01-03 23:30,2016-01-04 07:30
10315544,theft from motor vehicle,2016-01-03 20:30,2016-01-04 11:15
10315547,theft from motor vehicle,2016-01-03 23:30,2016-01-04 08:30
10315549,theft of motor vehicle,2016-01-03 22:00,2016-01-04 10:00
10315553,theft from motor vehicle,2016-01-04 00:30,2016-01-04 07:50
10315555,theft from motor vehicle,2016-01-03 23:30,2016-01-04 09:00
10315559,theft from motor vehicle,2016-01-04 04:25,2016-01-04 04:30
10315562,theft of motor vehicle,2016-01-03 22:00,2016-01-04 11:20
10315566,theft from motor vehicle,2016-01-04 02:00,2016-01-04 07:30
10315567,theft from motor vehicle,2016-01-04 01:00,2016-01-04 08:30
10315574,theft of motor vehicle,2016-01-03 23:30,2016-01-04 10:50
10315577,theft from motor vehicle,2016-01-03 23:30,2016-01-04 11:00
10315582,theft from motor vehicle,2016-01-04 05:30,2016-01-04 05:35
10315590,theft from motor vehicle,2016-01-03 19:00,2016-01-04 17:30
10315591,theft of motor vehicle,2016-01-04 06:15,2016-01-04 06:20
10315594,theft from motor vehicle,2016-01-03 23:00,2016-01-04 14:30
10315595,theft of motor vehicle,2016-01-04 06:35,2016-01-04 06:55
10315600,theft from motor vehicle,2016-01-03 02:00,2016-01-05 12:00
10315601,theft from motor vehicle,2016-01-03 19:30,2016-01-04 18:30
10315634,theft of motor vehicle,2016-01-04 05:00,2016-01-04 13:00
10315636,theft from motor vehicle,2016-01-04 05:10,2016-01-04 13:00
10315657,theft of motor vehicle,2016-01-03 22:30,2016-01-04 21:00
10315664,theft from motor vehicle,2016-01-04 10:00,2016-01-04 10:00
10315666,theft of motor vehicle,2016-01-04 10:01,2016-01-04 10:03
10315678,theft of motor vehicle,2016-01-04 09:00,2016-01-04 12:00
10315714,theft from motor vehicle,2016-01-04 07:00,2016-01-04 16:30
10315723,theft from motor vehicle,2016-01-04 06:00,2016-01-04 18:00
10315726,theft from motor vehicle,2016-01-04 12:00,2016-01-04 12:02
10315752,theft from motor vehicle,2016-01-04 12:00,2016-01-04 13:00
10315758,theft from motor vehicle,2016-01-04 12:30,2016-01-04 12:34
10315771,theft of motor vehicle,2016-01-04 13:00,2016-01-04 13:00
10315774,theft from motor vehicle,2016-01-04 07:30,2016-01-04 18:30
10315793,theft from motor vehicle,2016-01-04 12:40,2016-01-04 14:00
10315801,theft from motor vehicle,2016-01-04 13:00,2016-01-04 14:00
10315808,theft from motor vehicle,2016-01-04 13:30,2016-01-04 13:40
10315874,theft of motor vehicle,2016-01-02 12:00,2016-01-06 18:00
10315875,theft of motor vehicle,2016-01-03 22:00,2016-01-05 08:00
10315876,theft from motor vehicle,2016-01-03 15:00,2016-01-05 15:00
10315920,theft of motor vehicle,2016-01-01 10:00,2016-01-07 22:00
10315940,theft from motor vehicle,2016-01-04 16:15,2016-01-04 16:31
10315957,theft of motor vehicle,2016-01-03 17:30,2016-01-05 15:45
10315967,theft of motor vehicle,2016-01-04 16:36,2016-01-04 17:11
10316042,theft of motor vehicle,2016-01-04 18:25,2016-01-04 18:30
10316074,theft from motor vehicle,2016-01-04 19:00,2016-01-04 19:00
10316075,theft of motor vehicle,2016-01-04 18:30,2016-01-04 19:30
10316085,theft of motor vehicle,2016-01-04 15:00,2016-01-04 23:30
10316111,theft from motor vehicle,2016-01-04 19:00,2016-01-04 20:30
10316115,theft of motor vehicle,2016-01-04 19:45,2016-01-04 20:00
10316141,theft from motor vehicle,2016-01-04 20:00,2016-01-04 20:45
10316165,theft from motor vehicle,2016-01-04 20:00,2016-01-04 21:30
10316199,theft from motor vehicle,2016-01-04 15:00,2016-01-05 04:30
10316217,theft of motor vehicle,2016-01-04 11:00,2016-01-05 09:30
10316223,theft from motor vehicle,2016-01-04 10:00,2016-01-05 10:50
10316234,theft from motor vehicle,2016-01-04 15:15,2016-01-05 06:40
10316238,theft from motor vehicle,2016-01-04 16:10,2016-01-05 06:00
10316263,theft from motor vehicle,2016-01-04 18:30,2016-01-05 05:00
10316264,theft from motor vehicle,2016-01-04 15:30,2016-01-05 08:00
10316277,theft from motor vehicle,2016-01-04 18:00,2016-01-05 06:00
10316290,theft from motor vehicle,2016-01-04 17:45,2016-01-05 08:02
10316305,theft of motor vehicle,2016-01-04 19:20,2016-01-05 07:05
10316315,theft of motor vehicle,2016-01-04 20:15,2016-01-05 07:30
10316336,theft from motor vehicle,2016-01-03 22:00,2016-01-06 07:13
10316341,theft of motor vehicle,2016-01-05 02:47,2016-01-05 02:47
10316343,theft from motor vehicle,2016-01-04 17:00,2016-01-05 13:00
10316350,theft from motor vehicle,2016-01-04 23:45,2016-01-05 07:00
10316354,theft from motor vehicle,2016-01-04 20:00,2016-01-05 11:00
10316357,theft of motor vehicle,2016-01-04 22:30,2016-01-05 08:45
10316363,theft from motor vehicle,2016-01-05 04:00,2016-01-05 04:00
10316369,theft of motor vehicle,2016-01-04 18:00,2016-01-05 14:00
10316385,theft of motor vehicle,2016-01-05 05:05,2016-01-05 05:15
10316394,theft from motor vehicle,2016-01-05 05:30,2016-01-05 05:45
10316398,theft from motor vehicle,2016-01-05 05:50,2016-01-05 06:00
10316409,theft of motor vehicle,2016-01-04 22:30,2016-01-05 15:30
10316477,theft from motor vehicle,2016-01-05 01:30,2016-01-05 17:30
10316480,theft from motor vehicle,2016-01-05 09:00,2016-01-05 10:30
10316519,theft from motor vehicle,2016-01-05 07:00,2016-01-05 15:40
10316556,theft from motor vehicle,2016-01-05 09:00,2016-01-05 15:00
10316575,theft from motor vehicle,2016-01-05 08:00,2016-01-05 17:00
10316580,theft of motor vehicle,2016-01-05 12:30,2016-01-05 12:35
10316594,theft of motor vehicle,2016-01-05 12:50,2016-01-05 12:50
10316633,theft from motor vehicle,2016-01-05 11:00,2016-01-05 16:00
10316634,theft from motor vehicle,2016-01-05 13:00,2016-01-05 14:00
10316687,theft of motor vehicle,2016-01-05 14:00,2016-01-05 15:00
10316688,theft from motor vehicle,2016-01-05 14:25,2016-01-05 14:35
10316731,theft from motor vehicle,2016-01-05 15:00,2016-01-05 15:17
10316761,theft from motor vehicle,2016-01-05 15:50,2016-01-05 16:00
10316793,theft from motor vehicle,2016-01-05 16:20,2016-01-05 16:40
10316795,theft of motor vehicle,2016-01-05 16:30,2016-01-05 16:45
10316824,theft of motor vehicle,2016-01-05 17:00,2016-01-05 17:15
10316844,theft from motor vehicle,2016-01-04 18:00,2016-01-06 17:00
10316883,theft of motor vehicle,2016-01-03 16:00,2016-01-07 21:00
10316890,theft from motor vehicle,2016-01-03 22:00,2016-01-07 15:30
10316892,theft from motor vehicle,2016-01-05 18:40,2016-01-05 18:50
10316950,theft from motor vehicle,2016-01-05 18:00,2016-01-05 23:00
10316960,theft from motor vehicle,2016-01-05 09:30,2016-01-06 07:50
10316966,theft from motor vehicle,2016-01-05 18:30,2016-01-05 23:15
10316975,theft of motor vehicle,2016-01-05 21:00,2016-01-05 21:05
10317010,theft from motor vehicle,2016-01-05 22:00,2016-01-05 22:05
10317016,theft from motor vehicle,2016-01-05 21:00,2016-01-05 23:30
10317034,theft from motor vehicle,2016-01-05 22:44,2016-01-05 23:20
10317044,theft from motor vehicle,2016-01-05 17:30,2016-01-06 04:55
10317054,theft from motor vehicle,2016-01-05 22:00,2016-01-06 01:00
10317078,theft from motor vehicle,2016-01-05 23:15,2016-01-06 01:10
10317088,theft from motor vehicle,2016-01-05 19:00,2016-01-06 06:00
10317089,theft of motor vehicle,2016-01-05 18:00,2016-01-06 07:00
10317101,theft of motor vehicle,2016-01-05 18:00,2016-01-06 07:30
10317121,theft from motor vehicle,2016-01-05 19:10,2016-01-06 07:15
10317126,theft from motor vehicle,2016-01-05 19:30,2016-01-06 07:10
10317132,theft of motor vehicle,2016-01-05 21:00,2016-01-06 06:00
10317140,theft from motor vehicle,2016-01-05 23:50,2016-01-06 03:30
10317143,theft from motor vehicle,2016-01-05 09:00,2016-01-06 18:20
10317145,theft from motor vehicle,2016-01-05 19:30,2016-01-06 08:00
10317146,theft from motor vehicle,2016-01-05 18:30,2016-01-06 09:00
10317153,theft of motor vehicle,2016-01-05 22:00,2016-01-06 06:00
10317154,theft from motor vehicle,2016-01-06 01:58,2016-01-06 02:07
10317170,theft from motor vehicle,2016-01-06 00:00,2016-01-06 05:00
10317171,theft from motor vehicle,2016-01-05 23:00,2016-01-06 06:00
10317173,theft from motor vehicle,2016-01-05 20:30,2016-01-06 08:30
10317176,theft of motor vehicle,2016-01-05 22:10,2016-01-06 07:10
10317178,theft of motor vehicle,2016-01-05 22:00,2016-01-06 07:30
10317181,theft from motor vehicle,2016-01-05 23:00,2016-01-06 06:45
